271111,2023.3
500000,2022.4
250990,2023.2
117036,2023.4
11700,2023.1
497094,2023.4
30000,2024.1
176305,2023.2
27500,2023.2
1001424,2023.2
104848,2023.4
16250,2023.2
22500,2023.2
212745,2024.1
45000,2021.4
262000,2023.1
1017900,2023.4
10920,2023.1
45000,2022.3
45000,2024.1
30000,2024.1
110788,2023.4
489416,2023.3
147727,2023.3
47500,2023.3
15000,2023.2
224599,2022.1
172000,2022.2
494804,2022.1
1392166,2023.1
115650,2024.1
174800,2023.2
1219826,2024.1
538450,2023.3
127180,2022.2
30000,2023.4
12000,2024.1
563193,2022.3
334670,2023.2
139950,2022.3
16800,2023.4
257920,2023.1
498160,2022.3
155820,2022.3
250141,2023.4
367360,2023.2
300000,2023.1
427200,2023.2
1201200,2023.3
33750,2023.2
316072,2023.4
800000,2022.2
453600,2023.2
32500,2023.2
30000,2023.2
163170,2023.3
825000,2024.1
220863,2023.4
114780,2023.3
265775,2024.1
221590,2023.2
26000,2023.4
30000,2024.1
